NAME,DESCRIPTION,HTML_URL,WATCHERS_COUNT,STARGAZERS_COUNT,FORKS_COUNT
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,197421,197421,22760
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,185045,185045,33662
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,139199,139199,36022
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,131491,131491,21356
Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,120099,120099,45852
youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,111087,111087,7879
models,Models and examples built with TensorFlow,https://github.com/tensorflow/models,73906,73906,45925
thefuck,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,71836,71836,3218
transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,65940,65940,15341
django,The Web framework for perfectionists with deadlines.,https://github.com/django/django,64795,64795,27324
flask,The Python micro framework for building web applications.,https://github.com/pallets/flask,59368,59368,15127
HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",https://github.com/521xueweihan/HelloGitHub,56648,56648,7931
